"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\js\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 23, 7, 33
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\auth\login.blade.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\auth\signup.blade.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\booking\index.blade.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\category\create.blade.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 7, 52
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\category\edit.blade.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 7, 54
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\category\index.blade.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\customer\index.blade.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\dashboard.blade.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 12, 66
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\delivery-man\create.blade.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 7, 93
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\delivery-man\edit.blade.php", "PHP", 0, 0, 66, 0, 0, 0, 0, 8, 74
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\delivery-man\index.blade.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\order\index.blade.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\order\show.blade.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 9, 95
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\product\create.blade.php", "PHP", 0, 0, 105, 0, 0, 0, 4, 11, 120
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\product\edit.blade.php", "PHP", 0, 0, 107, 0, 0, 0, 4, 11, 122
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\product\index.blade.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\table\create.blade.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 7, 61
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\table\edit.blade.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\table\index.blade.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\testimonials\index.blade.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\booking.blade.php", "PHP", 0, 0, 108, 0, 0, 0, 0, 9, 117
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\cart.blade.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 11, 79
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\admin-sidebar.blade.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 11, 64
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\banner.blade.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\bar-chart.blade.php", "PHP", 0, 0, 52, 0, 0, 0, 10, 10, 72
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\carousel.blade.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 2, 34
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\cart-products-spreader.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\cta.blade.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 1, 48
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\dashboard-card.blade.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\doughnut-chart.blade.php", "PHP", 0, 0, 53, 0, 0, 0, 10, 15, 78
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\footer.blade.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 1, 55
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\loader.blade.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\modal.blade.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\nav.blade.php", "PHP", 0, 0, 57, 0, 0, 0, 0, 5, 62
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\navbar.blade.php", "PHP", 0, 0, 106, 0, 0, 0, 0, 4, 110
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\products-spreader.blade.php", "PHP", 0, 0, 85, 0, 0, 0, 0, 7, 92
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\sections-header.blade.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\services.blade.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 2, 49
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\spinner.blade.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\testimonials.blade.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 8, 94
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\contact.blade.php", "PHP", 0, 0, 96, 0, 0, 0, 0, 11, 107
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\index.blade.php", "PHP", 0, 0, 67, 0, 0, 0, 0, 5, 72
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\layouts\admin-unauthenticated.blade.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\layouts\admin.blade.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\layouts\app.blade.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\livewire\admin-nav.blade.php", "PHP", 0, 0, 42, 0, 0, 0, 14, 10, 66
